tick	attackStep	attackTime	charged	fireball_spawn
0	1	60	1	0
1	1	59	1	0
2	1	58	1	0
3	1	57	1	0
4	1	56	1	0
5	1	55	1	0
6	1	54	1	0
7	1	53	1	0
8	1	52	1	0
9	1	51	1	0
10	1	50	1	0
11	1	49	1	0
12	1	48	1	0
13	1	47	1	0
14	1	46	1	0
15	1	45	1	0
16	1	44	1	0
17	1	43	1	0
18	1	42	1	0
19	1	41	1	0
20	1	40	1	0
21	1	39	1	0
22	1	38	1	0
23	1	37	1	0
24	1	36	1	0
25	1	35	1	0
26	1	34	1	0
27	1	33	1	0
28	1	32	1	0
29	1	31	1	0
30	1	30	1	0
31	1	29	1	0
32	1	28	1	0
33	1	27	1	0
34	1	26	1	0
35	1	25	1	0
36	1	24	1	0
37	1	23	1	0
38	1	22	1	0
39	1	21	1	0
40	1	20	1	0
41	1	19	1	0
42	1	18	1	0
43	1	17	1	0
44	1	16	1	0
45	1	15	1	0
46	1	14	1	0
47	1	13	1	0
48	1	12	1	0
49	1	11	1	0
50	1	10	1	0
51	1	9	1	0
52	1	8	1	0
53	1	7	1	0
54	1	6	1	0
55	1	5	1	0
56	1	4	1	0
57	1	3	1	0
58	1	2	1	0
59	1	1	1	0
60	2	6	1	1
61	2	5	1	0
62	2	4	1	0
63	2	3	1	0
64	2	2	1	0
65	2	1	1	0
66	3	6	1	1
67	3	5	1	0
68	3	4	1	0
69	3	3	1	0
70	3	2	1	0
71	3	1	1	0
72	4	6	1	1
73	4	5	1	0
74	4	4	1	0
75	4	3	1	0
76	4	2	1	0
77	4	1	1	0
78	0	100	0	0
79	0	99	0	0
80	0	98	0	0
81	0	97	0	0
82	0	96	0	0
83	0	95	0	0
84	0	94	0	0
85	0	93	0	0
86	0	92	0	0
87	0	91	0	0
88	0	90	0	0
89	0	89	0	0
90	0	88	0	0
91	0	87	0	0
92	0	86	0	0
93	0	85	0	0
94	0	84	0	0
95	0	83	0	0
96	0	82	0	0
97	0	81	0	0
98	0	80	0	0
99	0	79	0	0
100	0	78	0	0
101	0	77	0	0
102	0	76	0	0
103	0	75	0	0
104	0	74	0	0
105	0	73	0	0
106	0	72	0	0
107	0	71	0	0
108	0	70	0	0
109	0	69	0	0
110	0	68	0	0
111	0	67	0	0
112	0	66	0	0
113	0	65	0	0
114	0	64	0	0
115	0	63	0	0
116	0	62	0	0
117	0	61	0	0
118	0	60	0	0
119	0	59	0	0
120	0	58	0	0
121	0	57	0	0
122	0	56	0	0
123	0	55	0	0
124	0	54	0	0
125	0	53	0	0
126	0	52	0	0
127	0	51	0	0
128	0	50	0	0
129	0	49	0	0
130	0	48	0	0
131	0	47	0	0
132	0	46	0	0
133	0	45	0	0
134	0	44	0	0
135	0	43	0	0
136	0	42	0	0
137	0	41	0	0
138	0	40	0	0
139	0	39	0	0
140	0	38	0	0
141	0	37	0	0
142	0	36	0	0
143	0	35	0	0
144	0	34	0	0
145	0	33	0	0
146	0	32	0	0
147	0	31	0	0
148	0	30	0	0
149	0	29	0	0
150	0	28	0	0
151	0	27	0	0
152	0	26	0	0
153	0	25	0	0
154	0	24	0	0
155	0	23	0	0
156	0	22	0	0
157	0	21	0	0
158	0	20	0	0
159	0	19	0	0
160	0	18	0	0
161	0	17	0	0
162	0	16	0	0
163	0	15	0	0
164	0	14	0	0
165	0	13	0	0
166	0	12	0	0
167	0	11	0	0
168	0	10	0	0
169	0	9	0	0
170	0	8	0	0
171	0	7	0	0
172	0	6	0	0
173	0	5	0	0
174	0	4	0	0
175	0	3	0	0
176	0	2	0	0
177	0	1	0	0
178	1	60	1	0
179	1	59	1	0
180	1	58	1	0
181	1	57	1	0
182	1	56	1	0
183	1	55	1	0
184	1	54	1	0
185	1	53	1	0
186	1	52	1	0
187	1	51	1	0
188	1	50	1	0
189	1	49	1	0
190	1	48	1	0
191	1	47	1	0
192	1	46	1	0
193	1	45	1	0
194	1	44	1	0
195	1	43	1	0
196	1	42	1	0
197	1	41	1	0
198	1	40	1	0
199	1	39	1	0
200	1	38	1	0
201	1	37	1	0
202	1	36	1	0
203	1	35	1	0
204	1	34	1	0
205	1	33	1	0
206	1	32	1	0
207	1	31	1	0
208	1	30	1	0
209	1	29	1	0
210	1	28	1	0
211	1	27	1	0
212	1	26	1	0
213	1	25	1	0
214	1	24	1	0
215	1	23	1	0
216	1	22	1	0
217	1	21	1	0
218	1	20	1	0
219	1	19	1	0
220	1	18	1	0
221	1	17	1	0
222	1	16	1	0
223	1	15	1	0
224	1	14	1	0
225	1	13	1	0
226	1	12	1	0
227	1	11	1	0
228	1	10	1	0
229	1	9	1	0
230	1	8	1	0
231	1	7	1	0
232	1	6	1	0
233	1	5	1	0
234	1	4	1	0
235	1	3	1	0
236	1	2	1	0
237	1	1	1	0
238	2	6	1	1
239	2	5	1	0
240	2	4	1	0
241	2	3	1	0
242	2	2	1	0
243	2	1	1	0
244	3	6	1	1
245	3	5	1	0
246	3	4	1	0
247	3	3	1	0
248	3	2	1	0
249	3	1	1	0
250	4	6	1	1
251	4	5	1	0
252	4	4	1	0
253	4	3	1	0
254	4	2	1	0
255	4	1	1	0
256	0	100	0	0
257	0	99	0	0
258	0	98	0	0
259	0	97	0	0
260	0	96	0	0
261	0	95	0	0
262	0	94	0	0
263	0	93	0	0
264	0	92	0	0
265	0	91	0	0
266	0	90	0	0
267	0	89	0	0
268	0	88	0	0
269	0	87	0	0
270	0	86	0	0
271	0	85	0	0
272	0	84	0	0
273	0	83	0	0
274	0	82	0	0
275	0	81	0	0
276	0	80	0	0
277	0	79	0	0
278	0	78	0	0
279	0	77	0	0
280	0	76	0	0
281	0	75	0	0
282	0	74	0	0
283	0	73	0	0
284	0	72	0	0
285	0	71	0	0
286	0	70	0	0
287	0	69	0	0
288	0	68	0	0
289	0	67	0	0
290	0	66	0	0
291	0	65	0	0
292	0	64	0	0
293	0	63	0	0
294	0	62	0	0
295	0	61	0	0
296	0	60	0	0
297	0	59	0	0
298	0	58	0	0
299	0	57	0	0
300	0	56	0	0
301	0	55	0	0
302	0	54	0	0
303	0	53	0	0
304	0	52	0	0
305	0	51	0	0
306	0	50	0	0
307	0	49	0	0
308	0	48	0	0
309	0	47	0	0
310	0	46	0	0
311	0	45	0	0
312	0	44	0	0
313	0	43	0	0
314	0	42	0	0
315	0	41	0	0
316	0	40	0	0
317	0	39	0	0
318	0	38	0	0
319	0	37	0	0
320	0	36	0	0
321	0	35	0	0
322	0	34	0	0
323	0	33	0	0
324	0	32	0	0
325	0	31	0	0
326	0	30	0	0
327	0	29	0	0
328	0	28	0	0
329	0	27	0	0
330	0	26	0	0
331	0	25	0	0
332	0	24	0	0
333	0	23	0	0
334	0	22	0	0
335	0	21	0	0
336	0	20	0	0
337	0	19	0	0
338	0	18	0	0
339	0	17	0	0
340	0	16	0	0
341	0	15	0	0
342	0	14	0	0
343	0	13	0	0
344	0	12	0	0
345	0	11	0	0
346	0	10	0	0
347	0	9	0	0
348	0	8	0	0
349	0	7	0	0
350	0	6	0	0
351	0	5	0	0
352	0	4	0	0
353	0	3	0	0
354	0	2	0	0
355	0	1	0	0
# charged_on=156 charged_off=200 cycles=2 duty=78_on/100_off
# transitions=0:on,78:off,178:on,256:off
# fireballs=60,66,72,238,244,250
# cadence_horizon_ticks=3560 old_flat_shots=89 new_vanilla_shots=60 old_per_100=2.500000000 new_per_100=1.685393258
# first_100 old_flat_shots=3 new_vanilla_shots=3
