chunk,ticks,wall_s,reward_mean,loss_mean,grad_norm_mean,grad_norm_max,update_norm,episodes,t0_success,available_cells,allocated_gib,peak_allocated_gib,finite
1,786432,1.68995,-0.0088597,-0.0212843,0.117841,0.612072,2.7208,124,0,11,8.66158,10.2905,1
2,1572864,3.04019,-0.00716455,-0.0123536,0.147225,0.300178,1.99992,263,0,11,8.66163,10.2906,1
3,2359296,4.40828,-0.00731359,0.00385384,0.16976,0.262239,2.01892,388,0,11,8.66163,10.2906,1
4,3145728,5.77782,-0.00782272,0.0128753,0.220033,0.42658,2.14344,509,0,11,8.66163,10.2906,1
5,3932160,7.15859,-0.0065304,0.0134596,0.318573,0.542561,2.17191,649,0,11,8.66163,10.2906,1
6,4718592,8.53925,-0.00554872,0.0098264,0.340552,0.880041,2.1701,770,0,11,8.66163,10.2906,1
7,5505024,9.91452,-0.00481792,0.00575605,0.356232,0.584136,2.28397,912,0,11,8.66163,10.2906,1
8,6291456,11.2833,-0.00296904,0.00480807,0.386621,1.11735,2.33845,1062,0,11,8.66163,10.2906,1
9,7077888,12.6597,-0.00227816,0.0164543,0.434861,0.702639,2.28246,1170,0,11,8.66163,10.2906,1
10,7864320,14.0371,-0.00104992,0.0112574,0.430194,0.819206,2.22881,1298,0,11,8.66163,10.2906,1
11,8650752,15.402,0.000713978,0.00898316,0.53247,1.08031,2.15348,1421,0,11,8.66163,10.2906,1
12,9437184,16.7922,0.00329526,-0.00267277,0.564285,0.847112,2.01354,1548,0,11,8.66163,10.2906,1
13,10223616,18.1505,0.00500318,-0.0102391,0.635719,1.27108,1.94274,1674,0,11,8.66163,10.2906,1
14,11010048,19.4977,0.0073992,-0.0148994,0.69587,1.25953,1.76959,1804,0,15,8.66163,10.2906,1
15,11796480,20.8454,0.00900181,-0.017786,0.814078,1.20409,1.67255,1929,0,18,8.66163,10.2906,1
16,12582912,22.1949,0.0112315,-0.0127544,0.852497,1.5642,1.52251,2053,0,21,8.66163,10.2906,1
