chunk,ticks,wall_s,reward_mean,loss_mean,grad_norm_mean,grad_norm_max,update_norm,episodes,t0_success,available_cells,allocated_gib,peak_allocated_gib,finite
1,786432,1.67175,-0.0088597,-0.0211002,0.121407,0.821164,2.68376,124,0,11,8.66102,10.2908,1
2,1572864,3.02472,-0.0072388,-0.0124988,0.151642,0.298516,1.97177,263,0,11,8.66226,10.2908,1
3,2359296,4.39515,-0.00723934,0.00360055,0.174929,0.300256,1.99182,388,0,11,8.66226,10.2908,1
4,3145728,5.77304,-0.00742546,0.0157328,0.235223,0.446918,2.10167,509,0,11,8.66226,10.2908,1
5,3932160,7.15107,-0.00660605,0.016501,0.325464,0.640745,2.09174,649,0,11,8.66226,10.2908,1
6,4718592,8.52833,-0.00578703,0.0121596,0.401685,0.755975,2.17063,770,0,11,8.66226,10.2908,1
7,5505024,9.89935,-0.00467359,0.00929793,0.395961,0.829494,2.10002,912,0,11,8.66226,10.2908,1
8,6291456,11.2739,-0.00364871,0.00894908,0.421706,0.871275,2.11975,1062,0,11,8.66226,10.2908,1
9,7077888,12.6468,-0.00265701,0.00798041,0.41469,0.712768,2.18987,1171,0,11,8.66226,10.2908,1
10,7864320,14.0129,-0.000987457,0.00359055,0.427784,0.733715,2.28208,1298,0,11,8.66226,10.2908,1
11,8650752,15.3794,0.00222888,-0.000924121,0.488235,0.909091,2.26653,1422,0,11,8.66226,10.2908,1
12,9437184,16.7413,0.00362319,-0.0051294,0.535392,0.920907,2.19784,1549,0,11,8.66226,10.2908,1
13,10223616,18.1031,0.00524054,-0.0115736,0.54608,1.06114,2.10967,1675,0,14,8.66226,10.2908,1
14,11010048,19.4607,0.00783678,-0.014427,0.779901,1.40224,1.81305,1804,0,17,8.66226,10.2908,1
15,11796480,20.8085,0.0113744,-0.00858774,0.914419,2.50159,1.78182,1929,0,21,8.66226,10.2908,1
16,12582912,22.1518,0.0140199,0.010687,0.830684,1.92738,1.7876,2052,0,21,8.66226,10.2908,1
17,13369344,23.4931,0.0170373,0.0414229,1.03764,3.11828,1.57075,2158,0,21,8.66226,10.2908,1
18,14155776,24.8329,0.0198883,0.0643084,1.34376,3.41324,1.20484,2278,0,21,8.66226,10.2908,1
19,14942208,26.1663,0.0205554,0.0718492,1.43227,3.27948,1.15055,2406,0,21,8.66226,10.2908,1
20,15728640,27.5032,0.0199814,0.0533244,1.61881,3.74446,1.05045,2542,0,21,8.66226,10.2908,1
21,16515072,28.831,0.0186493,0.0327457,1.17264,3.12448,1.29731,2673,0,21,8.66226,10.2908,1
22,17301504,30.1587,0.0171902,0.0206293,1.2459,2.46065,1.15746,2806,0,22,8.66226,10.2908,1
23,18087936,31.489,0.016778,0.00810561,1.21819,2.91516,1.26577,2937,0,25,8.66226,10.2908,1
24,18874368,32.808,0.0163583,0.00575433,1.0259,3.02076,1.42746,3068,0,27,8.66226,10.2908,1
25,19660800,34.1267,0.0157574,-0.00345055,1.47304,3.26657,1.173,3223,0,28,8.66226,10.2908,1
26,20447232,35.444,0.0158863,-0.00870966,1.16676,2.33589,1.32414,3370,0,28,8.66226,10.2908,1
27,21233664,36.7671,0.0152006,-0.00532588,1.2775,3.05757,1.27215,3502,0,28,8.66226,10.2908,1
28,22020096,38.0856,0.0152774,-0.00439781,1.25388,2.63647,1.27247,3629,0,30,8.66226,10.2908,1
29,22806528,39.4057,0.0153352,-0.0148025,1.13048,2.23724,1.32697,3780,0,30,8.66226,10.2908,1
30,23592960,40.7248,0.015935,-0.0123831,1.92457,3.27495,0.950423,3914,0,30,8.66226,10.2908,1
31,24379392,42.05,0.0149345,-0.0146179,1.90038,4.51591,0.918915,4033,0,30,8.66226,10.2908,1
32,25165824,43.3647,0.0154813,-0.0179778,1.44071,3.77886,1.12369,4170,0,30,8.66226,10.2908,1
33,25952256,44.6773,0.0150341,-0.0145604,1.54335,4.54514,1.12822,4302,0,30,8.66226,10.2908,1
34,26738688,45.9997,0.015067,-0.0100988,1.45566,3.22496,1.14806,4427,0,30,8.66226,10.2908,1
35,27525120,47.3241,0.0158948,-0.000403035,2.61633,5.28711,0.75687,4555,0,30,8.66226,10.2908,1
36,28311552,48.6427,0.0160351,-0.00484046,1.74399,4.92035,0.961838,4690,0,30,8.66226,10.2908,1
37,29097984,49.9615,0.0157524,0.00203555,2.22525,4.57173,0.829002,4833,0,30,8.66226,10.2908,1
38,29884416,51.283,0.0161825,0.00217514,2.0481,5.22529,0.859928,4979,0,30,8.66226,10.2908,1
39,30670848,52.6097,0.0160931,0.00496437,2.30705,5.79103,0.813141,5118,0,30,8.66226,10.2908,1
40,31457280,53.9352,0.0167223,0.0202204,2.47407,6.79872,0.843624,5262,0,30,8.66226,10.2908,1
41,32243712,55.2573,0.0179225,0.0608296,2.9224,9.25716,0.822984,5383,0,30,8.66226,10.2908,1
42,33030144,56.5782,0.0238563,0.147896,5.0134,15.1451,0.700026,5525,0,30,8.66226,10.2908,1
43,33816576,57.9021,0.0291326,0.233852,9.35013,16.2976,0.393126,5644,0,31,8.66226,10.2908,1
