chunk,ticks,wall_s,reward_mean,loss_mean,grad_norm_mean,grad_norm_max,update_norm,episodes,t0_success,available_cells,allocated_gib,peak_allocated_gib,finite
1,786432,1.65053,-0.0088597,0.378807,0.238753,0.566963,3.11871,124,0,11,8.66102,10.2908,1
2,1572864,3.00194,-0.00740933,0.427467,0.361453,1.61306,2.03974,263,0,11,8.66226,10.2908,1
3,2359296,4.36608,-0.00754374,0.511759,1.52704,3.37939,1.30114,388,0,11,8.66226,10.2908,1
4,3145728,5.74227,-0.00797803,0.616182,2.28324,4.54203,1.03532,509,0,11,8.66226,10.2908,1
5,3932160,7.11621,-0.00801867,0.729955,3.92695,7.69476,0.719768,649,0,11,8.66226,10.2908,1
6,4718592,8.49096,-0.00664602,0.908439,4.79601,12.8742,0.689996,770,0,11,8.66226,10.2908,1
7,5505024,9.86702,-0.00710394,1.13454,7.97549,18.2074,0.625778,912,0,11,8.66226,10.2908,1
8,6291456,11.2427,-0.00634993,1.30842,10.1455,22.4218,0.708258,1062,0,11,8.66226,10.2908,1
9,7077888,12.615,-0.0063634,1.62268,11.9771,29.4546,0.802216,1170,0,11,8.66226,10.2908,1
10,7864320,13.9878,-0.00581876,1.90555,12.9852,37.352,0.952555,1297,0,11,8.66226,10.2908,1
11,8650752,15.3569,-0.00402411,2.37948,15.9274,46.7393,1.05538,1420,0,11,8.66226,10.2908,1
12,9437184,16.7303,-0.00362173,2.70645,13.6189,55.7276,1.21413,1547,0,11,8.66226,10.2908,1
13,10223616,18.0999,-0.00194516,3.29033,17.2295,67.3941,1.52072,1673,0,11,8.66226,10.2908,1
14,11010048,19.4612,-0.000484704,4.02999,13.6542,81.3042,1.41575,1803,0,11,8.66226,10.2908,1
15,11796480,20.8274,-2.48521e-05,4.68839,13.3787,95.8948,1.62332,1930,0,11,8.66226,10.2908,1
16,12582912,22.1908,0.00148374,5.60099,13.9543,114.451,1.95806,2052,0,13,8.66226,10.2908,1
17,13369344,23.5379,0.00364418,6.64274,16.3367,136.402,1.80575,2158,0,13,8.66226,10.2908,1
18,14155776,24.8907,0.00501331,8.03786,20.8314,168.383,1.87324,2277,0,14,8.66226,10.2908,1
19,14942208,26.2334,0.00757584,9.70991,21.0866,202.341,1.77807,2404,0,15,8.66226,10.2908,1
20,15728640,27.569,0.00877029,11.8683,27.016,242.611,1.69714,2540,0,18,8.66226,10.2908,1
21,16515072,28.9021,0.00876425,15.3877,35.7153,312.418,1.49108,2671,0,18,8.66226,10.2908,1
22,17301504,30.232,0.0100145,20.1919,47.0235,404.624,1.27647,2805,0,19,8.66226,10.2908,1
23,18087936,31.5532,0.0110373,27.3019,60.6643,547.113,1.56377,2936,0,21,8.66226,10.2908,1
24,18874368,32.869,0.0116682,34.4091,75.6748,703.475,1.24843,3067,0,21,8.66226,10.2908,1
25,19660800,34.1858,0.0130941,40.7481,92.2636,853.305,1.20669,3223,0,21,8.66226,10.2908,1
26,20447232,35.4977,0.0142491,44.9034,105.434,992.828,1.06175,3369,0,21,8.66226,10.2908,1
27,21233664,36.814,0.0138489,48.1643,117.059,1141.52,0.879778,3500,0,21,8.66226,10.2908,1
28,22020096,38.1345,0.0138891,47.7809,142.882,1230.33,1.16133,3628,0,21,8.66226,10.2908,1
29,22806528,39.4551,0.0145737,46.1707,156.363,1298.25,1.37587,3780,0,21,8.66226,10.2908,1
30,23592960,40.7676,0.0158781,42.1098,161.603,1299.72,1.19079,3914,0,21,8.66226,10.2908,1
31,24379392,42.0793,0.0165967,39.4759,132.759,1349.74,1.32108,4033,0,21,8.66226,10.2908,1
32,25165824,43.3849,0.0167341,35.4345,129.389,1368.51,1.04129,4170,0,21,8.66226,10.2908,1
33,25952256,44.6892,0.0175363,30.1565,145.673,1332.76,0.991217,4301,0,21,8.66226,10.2908,1
34,26738688,46.0003,0.0164512,24.3043,129.583,1254.17,0.917417,4427,0,21,8.66226,10.2908,1
35,27525120,47.31,0.0172259,17.9541,86.3514,1099.53,0.978458,4556,0,21,8.66226,10.2908,1
36,28311552,48.6222,0.015996,12.5975,70.9458,954.554,0.704866,4692,0,21,8.66226,10.2908,1
37,29097984,49.9289,0.0157006,8.41673,71.7691,784.371,0.674762,4835,0,21,8.66226,10.2908,1
38,29884416,51.2389,0.0159343,5.30103,65.1493,628.626,0.967232,4984,0,21,8.66226,10.2908,1
39,30670848,52.55,0.0154346,2.99454,61.1583,461.74,1.04773,5122,0,21,8.66226,10.2908,1
40,31457280,53.8582,0.0151521,1.55102,59.6402,312.729,0.688025,5265,0,21,8.66226,10.2908,1
41,32243712,55.15,0.0146742,0.739236,36.5284,156.636,1.10268,5386,0,21,8.66226,10.2908,1
42,33030144,56.4473,0.014339,0.480002,8.9259,17.9687,1.94471,5529,0,22,8.66226,10.2908,1
43,33816576,57.7421,0.0137516,0.636569,47.7201,141.118,0.574601,5650,0,22,8.66226,10.2908,1
44,34603008,59.0361,0.0138896,1.22607,42.5518,276.754,0.522674,5791,0,23,8.66226,10.2908,1
