chunk,ticks,wall_s,reward_mean,loss_mean,grad_norm_mean,grad_norm_max,update_norm,episodes,t0_success,available_cells,allocated_gib,peak_allocated_gib,finite
1,786432,1.64898,-0.0088597,0.376902,0.20466,0.408608,3.49012,124,0,11,8.66102,10.2908,1
2,1572864,2.9971,-0.00741126,0.428468,0.440354,0.850232,2.28486,263,0,11,8.66226,10.2908,1
3,2359296,4.36162,-0.00760939,0.496988,1.09467,3.37701,1.91971,388,0,11,8.66226,10.2908,1
4,3145728,5.73291,-0.00829137,0.574777,3.08351,9.78745,1.96349,509,0,11,8.66226,10.2908,1
5,3932160,7.11592,-0.00719072,0.840502,12.8491,35.5757,2.08607,649,0,11,8.66226,10.2908,1
6,4718592,8.49855,-0.00701415,2.0134,51.9707,119.083,2.2305,770,0,11,8.66226,10.2908,1
7,5505024,9.88095,-0.00711194,2.58698,109.103,271.339,1.81981,912,0,11,8.66226,10.2908,1
8,6291456,11.2899,-0.00898374,0.192641,33.1432,105.782,2.00972,1062,0,11,8.66226,10.2908,1
9,7077888,12.6813,-0.00986293,-0.0493896,3.03361,6.35229,3.81391,1170,0,11,8.66226,10.2908,1
10,7864320,14.0787,-0.00844963,-0.0789322,1.61253,3.1796,3.10449,1297,0,11,8.66226,10.2908,1
11,8650752,15.4687,-0.00732895,-0.0841301,1.33658,2.226,2.72967,1420,0,11,8.66226,10.2908,1
12,9437184,16.8524,-0.00714577,-0.0858762,1.559,4.13584,2.35214,1547,0,11,8.66226,10.2908,1
13,10223616,18.2404,-0.00550575,-0.0862049,1.4654,3.81463,2.57043,1673,0,11,8.66226,10.2908,1
14,11010048,19.6245,-0.00470465,-0.0851001,2.38722,4.6308,1.90861,1803,0,11,8.66226,10.2908,1
15,11796480,21.0014,-0.00392948,-0.0848055,1.44909,2.55286,2.51264,1928,0,11,8.66226,10.2908,1
16,12582912,22.3715,-0.00306432,-0.0643008,2.39647,6.00605,1.92167,2054,0,11,8.66226,10.2908,1
17,13369344,23.7398,-0.00238745,-0.0851109,1.81715,3.44335,1.8437,2161,0,11,8.66226,10.2908,1
18,14155776,25.0994,-0.00174657,-0.0751799,2.07135,5.98704,1.88504,2282,0,11,8.66226,10.2908,1
19,14942208,26.4597,-0.000998619,-0.0865041,2.84722,7.68388,1.57391,2408,0,11,8.66226,10.2908,1
20,15728640,27.821,-0.000434516,-0.0438615,2.77279,7.87835,1.52025,2549,0,11,8.66226,10.2908,1
21,16515072,29.1704,0.00101643,-0.0633653,2.34469,4.25158,1.65963,2681,0,11,8.66226,10.2908,1
22,17301504,30.5165,0.00302136,-0.0728057,2.34732,9.84455,1.78054,2816,0,11,8.66226,10.2908,1
23,18087936,31.8532,0.00314928,-0.0666381,2.39217,5.35702,1.51486,2951,0,13,8.66226,10.2908,1
24,18874368,33.1924,0.00579981,-0.0685274,5.18907,12.4421,1.1178,3084,0,15,8.66226,10.2908,1
