chunk,ticks,wall_s,reward_mean,loss_mean,grad_norm_mean,grad_norm_max,update_norm,episodes,t0_success,available_cells,allocated_gib,peak_allocated_gib,finite
1,786432,1.64497,-0.0088597,0.376902,0.20466,0.408608,3.49012,124,0,11,8.66102,10.2908,1
2,1572864,2.99189,-0.00741126,0.428468,0.440354,0.850232,2.28486,263,0,11,8.66226,10.2908,1
3,2359296,4.35505,-0.00760939,0.496988,1.09467,3.37701,1.91971,388,0,11,8.66226,10.2908,1
4,3145728,5.72527,-0.00829137,0.574777,3.08351,9.78745,1.96349,509,0,11,8.66226,10.2908,1
5,3932160,7.10749,-0.00719072,0.840562,12.8488,35.5757,2.08617,649,0,11,8.66226,10.2908,1
6,4718592,8.49119,-0.00698282,2.06856,52.3984,119.469,2.23567,770,0,11,8.66226,10.2908,1
7,5505024,9.87206,-0.0071303,6.64052,196.715,353.098,2.6921,912,0,11,8.66226,10.2908,1
8,6291456,11.2573,-0.00994662,36.9841,947.398,1126.82,2.78456,1062,0,11,8.66226,10.2908,1
9,7077888,12.6518,-0.0112971,90.6482,2395.28,2731.36,3.15776,1170,0,11,8.66226,10.2908,1
10,7864320,14.0546,-0.0111305,156.521,4510.44,5034.27,2.89358,1297,0,11,8.66226,10.2908,1
11,8650752,15.4565,-0.011975,103.477,4643.25,5637.5,2.6999,1420,0,11,8.66226,10.2908,1
12,9437184,16.8672,-0.0114376,18.5437,1648.37,3293,2.3227,1547,0,11,8.66226,10.2908,1
13,10223616,18.2716,-0.0116497,8.32574,564.932,1501.7,1.79713,1673,0,11,8.66226,10.2908,1
14,11010048,19.6721,-0.0117999,22.0742,2139.3,3911.85,2.52378,1804,0,11,8.66226,10.2908,1
15,11796480,21.08,-0.0111778,19.5016,1645.86,3598.39,2.88421,1930,0,11,8.66226,10.2908,1
16,12582912,22.4831,-0.00998017,14.6985,1084.82,2458.6,2.90156,2054,0,11,8.66226,10.2908,1
17,13369344,23.893,-0.0103445,9.95836,634.24,1460.11,2.68228,2163,0,11,8.66226,10.2908,1
18,14155776,25.29,-0.00931643,6.75379,355.881,842.558,2.45591,2287,0,11,8.66226,10.2908,1
19,14942208,26.6931,-0.00835381,3.15433,145.445,463.194,2.41566,2416,0,11,8.66226,10.2908,1
20,15728640,28.0916,-0.00987358,1.6453,54.4904,220.751,2.52439,2556,0,11,8.66226,10.2908,1
21,16515072,29.4916,-0.00908572,0.686152,12.4587,71.8339,3.94809,2692,0,11,8.66226,10.2908,1
22,17301504,30.8791,-0.00872374,0.783679,22.1912,44.3365,2.84844,2830,0,11,8.66226,10.2908,1
23,18087936,32.2694,-0.00861748,0.420049,27.4176,77.3555,2.16975,2972,0,11,8.66226,10.2908,1
24,18874368,33.652,-0.00866521,0.297156,29.6644,88.8191,2.0351,3118,0,11,8.66226,10.2908,1
25,19660800,35.0401,-0.00933281,0.179867,25.1111,88.776,2.10869,3281,0,11,8.66226,10.2908,1
26,20447232,36.4219,-0.00878651,0.123275,20.6185,80.7746,2.24362,3437,0,11,8.66226,10.2908,1
27,21233664,37.8038,-0.00913619,0.113038,17.9129,71.3596,2.12669,3576,0,11,8.66226,10.2908,1
28,22020096,39.1932,-0.00973686,0.0926583,13.604,55.9729,2.2406,3719,0,11,8.66226,10.2908,1
29,22806528,40.5886,-0.00903271,0.0830338,10.1583,42.1613,2.21404,3889,0,11,8.66226,10.2908,1
30,23592960,41.9613,-0.00880405,0.0794708,7.16186,27.9724,2.1391,4042,0,11,8.66226,10.2908,1
31,24379392,43.3376,-0.00942064,0.0614079,4.77828,16.1999,2.11463,4172,0,11,8.66226,10.2908,1
32,25165824,44.745,-0.00759739,0.0582079,2.57061,4.92964,2.89378,4316,0,11,8.66226,10.2908,1
33,25952256,46.1208,-0.00720089,0.0543613,3.21613,10.374,2.38732,4460,0,11,8.66226,10.2908,1
34,26738688,47.5085,-0.00588223,0.0477865,4.57596,21.131,1.80821,4594,0,11,8.66226,10.2908,1
35,27525120,48.8998,-0.00527813,0.0545651,8.64207,28.5444,1.10899,4736,0,11,8.66226,10.2908,1
36,28311552,50.2848,-0.00625788,0.052336,8.46743,30.9978,1.05994,4885,0,11,8.66226,10.2908,1
37,29097984,51.6718,-0.00463942,0.0427953,8.27382,35.1165,1.06605,5034,0,11,8.66226,10.2908,1
38,29884416,53.0571,-0.00597513,0.0388145,8.50112,37.2801,1.29962,5180,0,12,8.66226,10.2908,1
39,30670848,54.4369,-0.00415953,0.0393299,8.92853,41.9461,1.10667,5326,0,12,8.66226,10.2908,1
40,31457280,55.8427,-0.00168064,0.0285194,9.38744,44.9989,1.12916,5476,0,12,8.66226,10.2908,1
41,32243712,57.2135,-0.000782074,0.0303428,9.85291,44.8019,1.17234,5597,0,13,8.66226,10.2908,1
42,33030144,58.5816,0.00097273,0.0341206,10.0367,45.8661,1.18561,5741,0,13,8.66226,10.2908,1
43,33816576,59.9399,0.00262873,0.0299787,9.19937,47.1742,1.27173,5855,0,16,8.66226,10.2908,1
44,34603008,61.2956,0.00335885,0.0290855,9.04768,47.2216,1.32407,5993,0,18,8.66226,10.2908,1
45,35389440,62.6457,0.00553237,0.0260437,10.4369,47.8154,1.09058,6107,0,21,8.66226,10.2908,1
46,36175872,63.9946,0.00717803,0.0267017,9.05411,46.7566,1.31461,6234,0,21,8.66226,10.2908,1
47,36962304,65.3401,0.00756723,0.0381894,10.251,44.4095,1.20655,6352,0,21,8.66226,10.2908,1
48,37748736,66.7177,0.0102945,0.0452086,8.16101,42.4256,1.19906,6474,0,21,8.66226,10.2908,1
49,38535168,68.0727,0.0132587,0.050641,7.17744,41.5236,1.38849,6607,0,21,8.66226,10.2908,1
50,39321600,69.4237,0.0135758,0.0597745,6.61131,39.2849,1.60929,6730,0,21,8.66226,10.2908,1
51,40108032,70.7674,0.0138337,0.0513235,7.03506,33.9074,1.37776,6846,0,21,8.66226,10.2908,1
52,40894464,72.1078,0.0136609,0.0439917,5.25921,30.0474,1.7706,6979,0,21,8.66226,10.2908,1
53,41680896,73.4414,0.0161653,0.0635872,6.73416,30.227,1.35249,7096,0,21,8.66226,10.2908,1
