Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
47.1,796268102,1,796268102.0,796268102.0,796268102,796268102,0.0,cudaDeviceSynchronize
37.7,637154992,783,813735.6,3120.0,460,10832846,2567420.2,cudaStreamSynchronize
13.1,222434654,80,2780433.2,45985.0,16210,20569533,6934613.2,cudaGraphLaunch
1.6,26425559,11371,2323.9,1930.0,1670,385803,11322.9,cudaLaunchKernel
0.5,8083584,1455,5555.7,2380.0,1480,402813,32575.6,cudaMemcpyAsync
0.1,999923,11371,87.9,80.0,70,4240,53.5,cuKernelGetName
0.0,147351,31,4753.3,4460.0,4240,7580,871.6,cudaMemcpy
0.0,112320,530,211.9,180.0,160,1970,147.4,cudaStreamIsCapturing
0.0,43990,26,1691.9,1785.0,80,7470,1670.4,cudaMemsetAsync
0.0,23321,11,2120.1,1830.0,1700,3330,593.7,cuLaunchKernel
0.0,13240,17,778.8,630.0,370,2960,603.3,cudaStreamWaitEvent
0.0,11450,10,1145.0,515.0,280,5200,1568.4,cudaEventRecord
0.0,7830,1,7830.0,7830.0,7830,7830,0.0,cuProfilerStart
0.0,3140,11,285.5,100.0,90,890,317.1,cuKernelGetFunction
0.0,2931,1,2931.0,2931.0,2931,2931,0.0,cudaEventCreate
0.0,2520,8,315.0,155.0,140,1120,344.9,cudaStreamGetCaptureInfo
0.0,1530,1,1530.0,1530.0,1530,1530,0.0,cudaEventDestroy
