Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
51.3,2339158329,61580,37985.7,2020.0,1620,11206495,338289.8,cudaLaunchKernel
37.3,1701158026,3962,429368.5,3090.0,440,65024642,2271410.0,cudaStreamSynchronize
5.7,260775287,54,4829172.0,3910172.0,135621,25483159,4904335.6,cuLibraryLoadData
3.5,160753220,2,80376610.0,80376610.0,80331070,80422150,64403.3,cudaDeviceSynchronize
0.6,29213811,285,102504.6,2020.0,140,9350779,781133.7,cudaFree
0.4,20280056,6362,3187.7,2450.0,1440,278341,4024.6,cudaMemcpyAsync
0.2,10041383,355,28285.6,5510.0,2310,3419131,234091.8,cudaMemcpy
0.2,9948900,5296,1878.6,1740.0,1520,34700,681.6,cuLaunchKernel
0.2,8903494,3342,2664.1,90.0,70,3864372,70592.7,cudaMemsetAsync
0.2,6933525,259,26770.4,1940.0,970,476442,59024.7,cudaMalloc
0.1,6569407,61580,106.7,80.0,60,153001,625.7,cuKernelGetName
0.1,4812043,1456,3305.0,1820.0,1670,1762156,46146.4,cudaLaunchKernelExC
0.0,1794596,8,224324.5,113685.5,30880,651372,263832.8,cuLibraryUnload
0.0,1135612,5296,214.4,100.0,90,277711,3939.1,cuKernelGetFunction
0.0,663931,2393,277.4,180.0,160,5370,267.7,cudaStreamIsCapturing
0.0,476671,4,119167.8,10870.0,5210,449721,220397.1,cudaHostAlloc
0.0,424191,32,13256.0,1430.0,830,102250,23272.4,cudaStreamCreateWithFlags
0.0,408931,2307,177.3,140.0,60,5520,163.0,cuGetProcAddress_v2
0.0,198571,4,49642.8,47240.0,25590,78501,27957.1,cuModuleLoadData
0.0,158392,138,1147.8,835.0,210,5510,1028.0,cuLibraryGetKernel
0.0,76070,219,347.4,200.0,140,1550,225.0,cudaStreamGetCaptureInfo
0.0,66490,1,66490.0,66490.0,66490,66490,0.0,cudaStreamCreate
0.0,18080,38,475.8,170.0,150,2670,645.1,cudaEventCreateWithFlags
0.0,12900,54,238.9,175.0,150,1420,219.6,cuOccupancyMaxActiveClusters
0.0,8820,7,1260.0,1250.0,350,2360,860.8,cuInit
0.0,4920,1,4920.0,4920.0,4920,4920,0.0,cudaStreamDestroy
0.0,2820,6,470.0,135.0,80,2230,862.7,cuModuleGetLoadingMode
0.0,2260,4,565.0,555.0,180,970,433.8,cuOccupancyAvailableDynamicSMemPerBlock
0.0,1680,6,280.0,210.0,70,850,286.4,cudaGetDeviceProperties
0.0,1300,3,433.3,230.0,220,850,360.9,cudaGetDriverEntryPointByVersion
