Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
91.0,1084417326,831,1304954.7,3140.0,440,13331167,3415056.3,cudaStreamSynchronize
7.6,90737515,46237,1962.4,1910.0,1640,45960,510.8,cudaLaunchKernel
0.3,4067417,1167,3485.4,2500.0,1500,18910,2300.0,cudaMemcpyAsync
0.3,3944996,46237,85.3,80.0,60,4220,38.0,cuKernelGetName
0.3,3526994,1864,1892.2,1820.0,1620,9330,360.8,cuLaunchKernel
0.2,2492243,1468,1697.7,1450.0,70,22040,1716.5,cudaMemsetAsync
0.1,1345766,657,2048.4,1900.0,1720,7120,435.3,cudaLaunchKernelExC
0.0,260523,1864,139.8,110.0,90,1150,82.6,cuKernelGetFunction
0.0,148031,31,4775.2,4680.0,4460,7040,459.9,cudaMemcpy
0.0,111761,530,210.9,170.0,160,1510,106.3,cudaStreamIsCapturing
0.0,111431,584,190.8,160.0,130,1440,109.2,cudaStreamGetCaptureInfo
0.0,6600,1,6600.0,6600.0,6600,6600,0.0,cudaDeviceSynchronize
0.0,6310,1,6310.0,6310.0,6310,6310,0.0,cuProfilerStart
