Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
34.0,1386830884,1,1386830884.0,1386830884.0,1386830884,1386830884,0.0,PushPop,:native_training_chunk
20.3,826968110,1,826968110.0,826968110.0,826968110,826968110,0.0,PushPop,:native/ppo
16.9,689939049,48,14373730.2,14442286.0,11239558,14530172,463342.0,PushPop,:native/ppo_grad_adam
13.7,557653264,1,557653264.0,557653264.0,557653264,557653264,0.0,PushPop,:native/rollout
10.1,411560987,32,12861280.8,12767849.5,11533479,14541441,640422.2,PushPop,:native/rollout_env
2.1,86147454,48,1794738.6,1752027.0,1733957,3615605,270520.1,PushPop,:native/ppo_backward
1.1,45134111,48,940294.0,910394.0,901874,2340210,206413.6,PushPop,:native/ppo_forward_loss
1.1,44004297,32,1375134.3,1342440.5,1328936,2234510,157812.4,PushPop,:native/rollout_policy
0.7,29215924,32,912997.6,905704.0,896273,1045195,26504.1,PushPop,:native/rollout_reward
0.1,2179139,1,2179139.0,2179139.0,2179139,2179139,0.0,PushPop,:native/gae
0.0,743212,94,7906.5,7620.0,7130,13770,884.5,PushPop,CCCL:cub::DeviceReduce::Sum
0.0,674433,94,7174.8,7010.0,6540,11541,628.8,PushPop,CCCL:cub::DeviceSelect::Flagged
0.0,92241,2,46120.5,46120.5,44531,47710,2247.9,PushPop,CCCL:cub::DeviceRadixSort
