chunk,ticks,wall_s,reward_mean,loss_mean,grad_norm_mean,grad_norm_max,update_norm,episodes,t0_success,available_cells,allocated_gib,peak_allocated_gib,finite
1,786432,1.62998,-0.0088597,-0.0212748,0.11618,0.610752,2.71357,124,0,11,8.65344,10.2901,1
2,1572864,2.9604,-0.00722634,-0.0123431,0.149388,0.29804,1.98903,263,0,11,8.65395,10.2901,1
3,2359296,4.3094,-0.00730562,0.00401431,0.179585,0.353314,1.96286,388,0,11,8.65394,10.2901,1
4,3145728,5.66395,-0.00760264,0.0139027,0.252806,0.428002,2.07814,509,0,11,8.65395,10.2901,1
5,3932160,7.02223,-0.0064392,0.0170876,0.28913,0.559862,2.22175,649,0,11,8.65395,10.2901,1
6,4718592,8.37553,-0.00597519,0.0130687,0.28526,0.559356,2.28822,770,0,11,8.65394,10.2901,1
7,5505024,9.73482,-0.00431408,0.00697159,0.367479,0.714422,2.20821,912,0,11,8.65395,10.2901,1
8,6291456,11.0868,-0.00370691,0.0136787,0.423699,0.973373,2.23207,1062,0,11,8.65396,10.2901,1
9,7077888,12.446,-0.00243678,0.0160603,0.436411,1.01063,2.22372,1171,0,11,8.65394,10.2901,1
10,7864320,13.799,-7.23417e-05,0.00427159,0.521393,0.979635,2.20041,1298,0,11,8.65394,10.2901,1
11,8650752,15.1442,0.00196994,0.00607819,0.501161,0.807669,2.31613,1421,0,13,8.65395,10.2901,1
12,9437184,16.4898,0.00382509,0.00428533,0.626799,1.0151,2.01216,1549,0,17,8.65395,10.2901,1
13,10223616,17.8257,0.00629812,-0.00739653,0.627274,1.1576,2.10066,1676,0,18,8.65395,10.2901,1
14,11010048,19.1544,0.00845529,-0.0114122,0.697333,1.52551,1.918,1808,0,19,8.65395,10.2901,1
15,11796480,20.4828,0.0114698,-0.00448314,0.812989,1.76244,1.6905,1933,0,21,8.65394,10.2901,1
16,12582912,21.8087,0.0140865,0.00935282,0.899269,2.02522,1.61902,2056,0,21,8.65394,10.2901,1
17,13369344,23.1311,0.0181002,0.0467293,1.11014,2.28137,1.46989,2161,0,21,8.65394,10.2901,1
18,14155776,24.4486,0.0195513,0.0607007,1.04128,2.69812,1.49036,2280,0,21,8.65394,10.2901,1
19,14942208,25.7607,0.0198397,0.0591886,1.08068,2.86665,1.4777,2406,0,21,8.65395,10.2901,1
20,15728640,27.0717,0.0190679,0.0415745,1.13791,3.05858,1.28629,2542,0,21,8.65395,10.2901,1
21,16515072,28.3812,0.0181481,0.0289895,1.09103,3.0473,1.37522,2671,0,22,8.65395,10.2901,1
22,17301504,29.6913,0.0180964,0.0294662,1.29617,3.59142,1.29651,2805,0,22,8.65395,10.2901,1
23,18087936,30.9931,0.0168959,0.00810571,1.38258,3.35867,1.2873,2936,0,23,8.65395,10.2901,1
24,18874368,32.2938,0.0158201,0.00356147,1.35224,4.0079,1.36767,3068,0,23,8.65395,10.2901,1
25,19660800,33.5979,0.0165162,0.000714561,1.79247,3.56793,0.990416,3223,0,24,8.65396,10.2901,1
26,20447232,34.8978,0.0164449,-0.00041125,1.39538,3.43064,1.22111,3370,0,26,8.65396,10.2901,1
27,21233664,36.1994,0.015171,-0.0100988,1.31242,2.84925,1.25534,3500,0,26,8.65395,10.2901,1
28,22020096,37.5004,0.0151953,-0.0169261,1.23772,2.69766,1.23371,3626,0,27,8.65395,10.2901,1
29,22806528,38.7983,0.0149633,-0.00447427,1.80717,4.85691,1.06554,3777,0,28,8.65396,10.2901,1
30,23592960,40.1002,0.0163792,-0.00110431,1.53385,2.69558,1.06931,3911,0,28,8.65395,10.2901,1
31,24379392,41.4032,0.0147313,-0.00937652,1.98109,4.43138,0.998049,4031,0,28,8.65394,10.2901,1
