chunk,ticks,wall_s,reward_mean,loss_mean,grad_norm_mean,grad_norm_max,update_norm,episodes,t0_success,available_cells,allocated_gib,peak_allocated_gib,finite
1,786432,1.61471,-0.0088597,-0.0212748,0.11618,0.610752,2.71357,124,0,11,8.65344,10.2901,1
2,1572864,2.94539,-0.00722634,-0.0123431,0.149388,0.29804,1.98903,263,0,11,8.65395,10.2901,1
3,2359296,4.29437,-0.00730562,0.00401431,0.179585,0.353314,1.96286,388,0,11,8.65394,10.2901,1
4,3145728,5.64973,-0.00760264,0.0139027,0.252806,0.428002,2.07814,509,0,11,8.65395,10.2901,1
5,3932160,7.00785,-0.0064392,0.0170876,0.28913,0.559862,2.22175,649,0,11,8.65395,10.2901,1
6,4718592,8.36161,-0.00597519,0.0130687,0.28526,0.559356,2.28822,770,0,11,8.65394,10.2901,1
7,5505024,9.72129,-0.00431408,0.00697159,0.367479,0.714422,2.20821,912,0,11,8.65395,10.2901,1
8,6291456,11.0732,-0.00370691,0.0136787,0.423699,0.973373,2.23207,1062,0,11,8.65396,10.2901,1
9,7077888,12.4336,-0.00243678,0.0160603,0.436411,1.01063,2.22372,1171,0,11,8.65394,10.2901,1
10,7864320,13.7877,-7.23417e-05,0.00427159,0.521393,0.979635,2.20041,1298,0,11,8.65394,10.2901,1
